dataset,npz_file,arch,nt,horizon_ttf,metric_scope,t,n_frame_samples,model_mse_mean,model_ssim_mean,model_snr_db_mean
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,0,extrap_only,1,8,0.01146217406494543,0.8693714424390051,-0.9494770745935349
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,0,extrap_only,2,8,0.00935831549577415,0.8862434758540425,0.0031776456901602356
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,0,extrap_only,3,8,0.01393339573405683,0.8145599431599028,-1.693263278099923
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,0,extrap_only,4,8,0.009490992699284106,0.8650786919331108,-0.04382944960393749
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,0,extrap_only,5,8,0.013510865275748074,0.7881949715937736,-1.4647583725626778
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,0,extrap_only,6,8,0.010230086685623974,0.8391048473125078,-0.29797740277598583
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,0,extrap_only,7,8,0.012859612237662077,0.7845680005624025,-1.2467680315267393
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,0,extrap_only,8,8,0.011503102257847786,0.8147702280752784,-0.7486795627013276
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,0,extrap_only,9,8,0.012194852984976023,0.7872377832024826,-1.038940168264166
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,0,extrap_only,10,8,0.01260150084272027,0.8022741996324696,-1.1347929884454677
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,0,extrap_only,11,8,0.012309316778555512,0.7874986045157426,-1.099162767216145
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,0,extrap_only,12,8,0.01286289980635047,0.7933595780062747,-1.251584630140197
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,0,extrap_only,13,8,0.012032383005134761,0.7912565901943718,-0.9898753251715187
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,0,extrap_only,14,8,0.013211371086072177,0.7882798882427898,-1.3608524416445975
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,0,extrap_only,15,8,0.013000919192563742,0.7904048377917297,-1.2464833872396617
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,0,extrap_only,16,8,0.013419444498140365,0.784742145887539,-1.4078556496501324
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,0,extrap_only,17,8,0.013342819875106215,0.781410162544822,-1.3366459434827247
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,0,extrap_only,18,8,0.01334195549134165,0.7811955785165332,-1.4076634339193552
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,0,extrap_only,19,8,0.013288768590427935,0.7821230059534421,-1.3338411218179607
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,10,extrap_only,10,8,0.010351716307923198,0.869257664606002,-0.40727850457341097
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,10,extrap_only,11,8,0.012602100381627679,0.8148703694370851,-1.249936413047049
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,10,extrap_only,12,8,0.014010380837135017,0.8094096854102585,-1.556494764528419
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,10,extrap_only,13,8,0.012349025113508105,0.7908350032772042,-1.0941513626771817
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,10,extrap_only,14,8,0.014064369024708867,0.7799004453071057,-1.5810715214076183
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,10,extrap_only,15,8,0.012343930022325367,0.778455347278451,-1.1622687549794728
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,10,extrap_only,16,8,0.013636882184073329,0.7670620406853297,-1.488507597071099
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,10,extrap_only,17,8,0.01249745354289189,0.7691973065520127,-1.1888872351750748
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,10,extrap_only,18,8,0.013192136131692678,0.7485892020056748,-1.3584387134854858
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,10,extrap_only,19,8,0.012735525553580374,0.7590734754430746,-1.1991178901370274
ID_NORMAL,ID_NORMAL.npz,mnist_1ch,20,19,extrap_only,19,8,0.010899912507738918,0.8661462518978876,-0.7201928973541707
